internalField   nonuniform List<vector> 
106488
(
(1.51118 -7.39434e-05 -8.74562e-06)
(1.51123 -7.23585e-05 -5.73996e-06)
(1.51126 -7.23705e-05 -2.69096e-06)
(1.5113 -7.41025e-05 4.68838e-07)
(1.51133 -7.77295e-05 3.81324e-06)
(1.51135 -8.34951e-05 7.4214e-06)
(1.51138 -9.17318e-05 1.1375e-05)
(1.5114 -0.000102876 1.57571e-05)
(1.51142 -0.000117514 2.06421e-05)
(1.51144 -0.000136427 2.60667e-05)
(1.51146 -0.000160659 3.19829e-05)
(1.51149 -0.000191608 3.81751e-05)
(1.51152 -0.000231156 4.41031e-05)
(1.51156 -0.000281819 4.85924e-05)
(1.51162 -0.000346924 4.92874e-05)
(1.51171 -0.000431569 4.17801e-05)
(1.51186 -0.000552325 1.60874e-05)
(1.51212 -0.00074746 -6.01491e-05)
(1.51275 -0.00107167 -0.000289677)
(1.51439 -0.00162438 -0.000968938)
(1.51497 -0.00322444 -0.00268677)
(1.54553 -0.00411051 -0.0121563)
(1.50872 -0.0128682 -0.0383452)
(1.42556 -0.0294619 -0.0321738)
(1.54132 -0.0243501 -0.0167285)
(1.56688 -0.0167601 -0.0115751)
(1.59103 -0.0124494 -0.00804481)
(1.60854 -0.00943684 -0.00578255)
(1.62096 -0.00733664 -0.00434666)
(1.63021 -0.0058811 -0.00337852)
(1.63725 -0.00484623 -0.00269895)
(1.64273 -0.00409051 -0.00220769)
(1.64706 -0.00352415 -0.0018448)
(1.6506 -0.00307965 -0.00156734)
(1.65364 -0.00271126 -0.00134449)
(1.6563 -0.00239798 -0.00116014)
(1.65863 -0.00212931 -0.0010058)
(1.66068 -0.00189691 -0.000875367)
(1.66249 -0.00169426 -0.000764306)
(1.66409 -0.00151624 -0.000669153)
(1.6655 -0.00135889 -0.00058721)
(1.66675 -0.00121907 -0.000516337)
(1.66786 -0.00109431 -0.000454812)
(1.66885 -0.000982632 -0.00040123)
(1.66973 -0.000882416 -0.000354434)
(1.67051 -0.000792339 -0.00031346)
(1.6712 -0.000711291 -0.000277504)
(1.67182 -0.000638326 -0.000245885)
(1.67237 -0.000572626 -0.000218028)
(1.67286 -0.000513477 -0.000193443)
(1.6733 -0.000460247 -0.000171711)
(1.67369 -0.000412376 -0.000152471)
(1.67403 -0.000369361 -0.000135413)
(1.67434 -0.000330749 -0.000120269)
(1.67462 -0.000296136 -0.000106803)
(1.67486 -0.000265149 -9.48169e-05)
(1.67508 -0.000237462 -8.41215e-05)
(1.67528 -0.000212785 -7.45669e-05)
(1.67545 -0.00019086 -6.60138e-05)
(1.67561 -0.000171457 -5.83381e-05)
(1.67575 -0.000154377 -5.14309e-05)
(1.67587 -0.000139447 -4.51933e-05)
(1.67598 -0.00012652 -3.95348e-05)
(1.67607 -0.000115478 -3.43765e-05)
(1.67616 -0.00010623 -2.96426e-05)
(1.67624 -9.87099e-05 -2.52632e-05)
(1.6763 -9.28777e-05 -2.11739e-05)
(1.67636 -8.87209e-05 -1.7311e-05)
(1.67642 -8.62575e-05 -1.36115e-05)
(1.67646 -8.55395e-05 -1.0014e-05)
(1.6765 -8.66542e-05 -6.45639e-06)
(1.67654 -8.97291e-05 -2.87316e-06)
(1.67657 -9.49424e-05 8.04125e-07)
(1.6766 -0.000102536 4.64499e-06)
(1.67663 -0.000112832 8.7181e-06)
(1.67665 -0.00012625 1.30866e-05)
(1.67667 -0.000143336 1.7796e-05)
(1.67669 -0.000164812 2.28401e-05)
(1.67671 -0.00019162 2.81092e-05)
(1.67674 -0.000224997 3.33033e-05)
(1.67676 -0.000266557 3.7768e-05)
(1.6768 -0.000318411 4.01698e-05)
(1.67685 -0.000383264 3.79233e-05)
(1.67693 -0.000465189 2.62543e-05)
(1.67707 -0.000578627 -5.82147e-06)
(1.67731 -0.000754673 -9.32861e-05)
(1.67792 -0.00102914 -0.000342627)
(1.67939 -0.00147577 -0.00104146)
(1.6802 -0.00276952 -0.00283597)
(1.71023 -0.0024404 -0.0124216)
(1.67331 -0.00840797 -0.037388)
(1.56223 -0.0252167 -0.0341151)
(1.67919 -0.0219414 -0.0180763)
(1.70513 -0.0153104 -0.0125037)
(1.7288 -0.0114247 -0.00881071)
(1.74642 -0.00869715 -0.00640013)
(1.75901 -0.00677081 -0.00485554)
(1.76847 -0.00543063 -0.00380713)
(1.77573 -0.00447922 -0.00306508)
(1.78141 -0.00378647 -0.00252437)
(1.78593 -0.00326901 -0.00212221)
(1.78965 -0.00286415 -0.001813)
(1.79285 -0.00252939 -0.00156334)
(1.79566 -0.00224511 -0.00135559)
(1.79813 -0.00200134 -0.00118058)
(1.80031 -0.00179024 -0.00103176)
(1.80224 -0.0016057 -0.000904274)
(1.80394 -0.00144302 -0.000794421)
(1.80545 -0.00129858 -0.000699311)
(1.80679 -0.00116956 -0.000616641)
(1.80798 -0.00105379 -0.000544549)
(1.80903 -0.000949549 -0.000481503)
(1.80997 -0.000855463 -0.000426235)
(1.81081 -0.000770415 -0.000377679)
(1.81155 -0.000693473 -0.000334938)
(1.81222 -0.00062385 -0.00029725)
(1.81281 -0.000560864 -0.000263963)
(1.81334 -0.000503916 -0.000234521)
(1.81381 -0.000452472 -0.000208443)
(1.81422 -0.000406056 -0.000185316)
(1.8146 -0.000364231 -0.000164779)
(1.81493 -0.000326606 -0.00014652)
(1.81523 -0.000292822 -0.000130266)
(1.81549 -0.000262554 -0.000115782)
(1.81573 -0.0002355 -0.000102848)
(1.81594 -0.000211406 -9.12879e-05)
(1.81613 -0.000190038 -8.09356e-05)
(1.81629 -0.000171189 -7.16466e-05)
(1.81644 -0.000154675 -6.32923e-05)
(1.81657 -0.000140343 -5.57558e-05)
(1.81669 -0.000128058 -4.89327e-05)
(1.8168 -0.000117718 -4.27307e-05)
(1.81689 -0.000109243 -3.7063e-05)
(1.81697 -0.000102577 -3.18504e-05)
(1.81704 -9.76893e-05 -2.70211e-05)
(1.81711 -9.45734e-05 -2.25055e-05)
(1.81716 -9.32508e-05 -1.82369e-05)
(1.81721 -9.3772e-05 -1.41524e-05)
(1.81726 -9.62154e-05 -1.01899e-05)
(1.81729 -0.000100691 -6.28699e-06)
(1.81733 -0.00010735 -2.3811e-06)
(1.81736 -0.000116388 1.58791e-06)
(1.81738 -0.000128058 5.67542e-06)
(1.8174 -0.000142678 9.92619e-06)
(1.81742 -0.000160655 1.43588e-05)
(1.81744 -0.00018251 1.89346e-05)
(1.81746 -0.000208911 2.35036e-05)
(1.81748 -0.000240704 2.77076e-05)
(1.8175 -0.000278948 3.08045e-05)
(1.81753 -0.00032497 3.1341e-05)
(1.81758 -0.000380365 2.65749e-05)
(1.81765 -0.000447604 1.14954e-05)
(1.81776 -0.000536872 -2.55873e-05)
(1.81799 -0.000667658 -0.000121412)
(1.81857 -0.000853178 -0.00038328)
(1.81989 -0.00113508 -0.00108486)
(1.82101 -0.00199341 -0.00292815)
(1.8506 -0.000611862 -0.012509)
(1.81327 -0.0037614 -0.0361234)
(1.67488 -0.0184685 -0.0356803)
(1.7928 -0.0170707 -0.0191927)
(1.81917 -0.0119511 -0.0132469)
(1.8422 -0.00893356 -0.00943013)
(1.85975 -0.00682623 -0.00690153)
(1.87239 -0.00532377 -0.00526808)
(1.88193 -0.00427947 -0.00415454)
(1.88931 -0.00354255 -0.0033619)
(1.89512 -0.00300932 -0.00278116)
(1.89976 -0.00261315 -0.00234731)
(1.9036 -0.00230434 -0.00201263)
(1.90692 -0.00204946 -0.00174157)
(1.90984 -0.00183293 -0.00151522)
(1.91242 -0.00164676 -0.00132376)
(1.9147 -0.00148472 -0.00116026)
(1.91671 -0.00134202 -0.00101962)
(1.9185 -0.00121509 -0.000897937)
(1.92008 -0.00110121 -0.000792188)
(1.92149 -0.000998379 -0.000699947)
(1.92274 -0.000905061 -0.000619244)
(1.92385 -0.000820097 -0.000548459)
(1.92484 -0.000742585 -0.000486236)
(1.92572 -0.000671807 -0.000431436)
(1.92651 -0.000607174 -0.000383091)
(1.92721 -0.000548187 -0.000340375)
(1.92783 -0.000494413 -0.00030258)
(1.92839 -0.000445462 -0.000269096)
(1.92888 -0.000400981 -0.000239396)
(1.92932 -0.000360644 -0.00021302)
(1.92972 -0.000324147 -0.000189573)
(1.93007 -0.000291207 -0.000168705)
(1.93038 -0.000261561 -0.000150111)
